Date,NeuralNetwork
2019-04-23,-0.01678153227851975
2019-04-24,-0.021051416094920783
2019-04-25,-0.02007164876360734
2019-04-26,-0.02019619326884181
2019-04-29,-0.014216702619216592
2019-04-30,-0.013319488410563296
2019-05-02,-0.008994216931369148
2019-05-03,0.0
2019-05-06,-0.014338361918918907
2019-05-07,-0.00244197684057601
2019-05-08,-0.008161991846317607
2019-05-09,-0.019427719391695852
2019-05-10,-0.02008991988139175
2019-05-13,-0.035050807494813485
2019-05-14,-0.04116534584356035
2019-05-15,-0.039296379109225565
2019-05-16,-0.04598257276344975
2019-05-17,-0.0497024053568591
2019-05-20,-0.05012968827656705
2019-05-21,-0.04387810150184046
2019-05-22,-0.046622741397902456
2019-05-23,-0.058072369890164954
2019-05-24,-0.05976490373872301
2019-05-27,-0.05998458575009413
2019-05-28,-0.06227753514277401
2019-05-29,-0.0626802038605051
2019-05-30,-0.05512125241860022
2019-05-31,-0.04199830138653249
2019-06-03,-0.044342707027589134
2019-06-04,-0.04416409284582623
2019-06-05,-0.04512513610205038
2019-06-06,-0.04415486116851175
2019-06-10,-0.03835584691687155
2019-06-11,-0.03683446822543768
2019-06-12,-0.037793763651999046
2019-06-13,-0.038611258622902045
2019-06-14,-0.041050640163790564
2019-06-17,-0.035603711652234415
2019-06-18,-0.03210093596140562
2019-06-19,-0.018978349712518106
2019-06-20,-0.013466901984057311
2019-06-21,-0.017647407595574482
2019-06-24,-0.0166627675378348
2019-06-25,-0.020796258660328193
2019-06-26,-0.02027247205595961
2019-06-27,-0.013740461238773372
2019-06-28,-0.020057814199271773
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,-0.009187322772524542
2019-07-04,-0.0003444509811667551
2019-07-05,0.0
2019-07-08,-0.004560936098746415
2019-07-09,-0.008774256960965787
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,-0.004959614471126583
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,-0.009605254151637488
2019-07-18,-0.013710811012766277
