Date,XGBoost
2013-02-27,-0.01595223228938769
2013-03-01,-0.0013395780277286606
2013-03-04,-0.017414161093782687
2013-03-05,-0.013175556363381635
2013-03-06,-0.005351397709852157
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,-0.013194069032424371
2013-03-13,-0.014528091091489448
2013-03-14,-0.02353159664478266
2013-03-15,-0.03146774880991621
2013-03-18,-0.047734184286752246
2013-03-19,-0.04476680563032309
2013-03-20,-0.04795395107045486
2013-03-21,-0.0474919343467588
2013-03-22,-0.05097140329859695
2013-03-25,-0.04394359650650814
2013-03-26,-0.04968425416251854
2013-03-27,-0.04545844116705511
2013-03-28,-0.05399981602097925
2013-03-29,-0.0470251200209002
2013-04-01,-0.05222860329254453
2013-04-02,-0.05431580246220802
2013-04-03,-0.05128557094076491
2013-04-08,-0.07331054296728978
2013-04-09,-0.07389915851499917
2013-04-10,-0.07378042851276434
2013-04-11,-0.06343526935180521
2013-04-12,-0.06935073497578503
2013-04-15,-0.07529641152066313
2013-04-16,-0.07247782623887156
2013-04-17,-0.07747948802574156
2013-04-18,-0.08330141579262684
2013-04-19,-0.07222366012856063
2013-04-22,-0.06604123571574838
2013-04-23,-0.06433188976627957
2013-04-24,-0.050426518244296115
2013-04-25,-0.05078479457515084
2013-04-26,-0.0526348215901542
2013-04-29,-0.05228582194351494
2013-04-30,-0.0459093635021568
2013-05-02,-0.038279012446416405
2013-05-03,-0.0320028181024945
2013-05-06,-0.02920026427710498
2013-05-07,-0.03194921943847229
2013-05-08,-0.018965666476480125
2013-05-09,-0.02174709487551607
2013-05-10,-0.020929606074689966
2013-05-13,-0.023629670306359873
2013-05-14,-0.02783511405329242
2013-05-15,-0.01897872320679672
2013-05-16,-0.0012986107161924165
2013-05-17,-0.0023401174771791045
2013-05-20,0.0
2013-05-21,-0.0005852865693672937
2013-05-22,-0.0004890478089704109
2013-05-23,-0.02104230534450624
2013-05-24,-0.02506942370212739
2013-05-27,-0.016488672579836883
2013-05-28,-0.018752992258681767
2013-05-29,-0.009680292820258174
2013-05-30,-0.019774172964802883
2013-05-31,-0.015633603411760788
2013-06-03,-0.027189434475028307
2013-06-04,-0.02574263015141187
2013-06-05,-0.031014646291850134
2013-06-06,-0.04469326030420706
2013-06-07,-0.042242258323658466
2013-06-10,-0.028925774867751497
2013-06-11,-0.03426210496216686
2013-06-13,-0.05782904225714325
2013-06-14,-0.06133411473394679
2013-06-17,-0.052711313324722786
2013-06-18,-0.04873608898024162
2013-06-19,-0.04841872467187003
2013-06-20,-0.06193734012714591
2013-06-21,-0.07194586037620265
2013-06-24,-0.07627390320527261
2013-06-25,-0.08523151767977266
2013-06-26,-0.06937053506267599
2013-06-27,-0.05318446231335183
2013-06-28,-0.03440304153771634
2013-07-01,-0.03137948569854454
2013-07-02,-0.0331621619240734
2013-07-03,-0.0418663809240758
2013-07-04,-0.04446600534174816
2013-07-05,-0.0259419153092858
2013-07-08,-0.03673515986076992
2013-07-09,-0.030643491374779952
2013-07-10,-0.03145210132952636
2013-07-11,-0.012555460436533883
2013-07-12,-0.010315782906909932
2013-07-15,-0.007723681432166507
2013-07-16,-0.002974021514329128
2013-07-17,-0.01454280555420373
2013-07-18,-0.02186073816478562
2013-07-19,-0.03458412118322973
2013-07-22,-0.03159288418377182
2013-07-23,-0.013759614055645963
2013-07-24,-0.015060218924855318
2013-07-25,-0.014960881260359216
2013-07-26,-0.014661881458131076
2013-07-29,-0.027000709511163068
2013-07-30,-0.01973201040701833
2013-07-31,-0.019865095995741266
2013-08-01,-0.0214483011747002
2013-08-02,-0.009756873595432314
2013-08-05,-0.008411438831658957
2013-08-06,-0.023715118968870352
2013-08-07,-0.03529093494943347
2013-08-08,-0.037835923171094854
2013-08-09,-0.04682065404003155
2013-08-12,-0.039574670219839514
2013-08-13,-0.031607885858993656
2013-08-14,-0.03403161712314051
2013-08-15,-0.04296791702476932
2013-08-16,-0.03770985867331911
2013-08-19,-0.037311441275502455
2013-08-20,-0.03704195049953485
2013-08-22,-0.046614967144322894
2013-08-23,-0.04032943146627577
2013-08-26,-0.039160641554330744
2013-08-27,-0.04861064728007791
2013-08-28,-0.05054115264612091
2013-08-29,-0.03865139385914429
2013-08-30,-0.02484068268752082
2013-09-02,-0.02629272117484005
2013-09-03,-0.016462584554812754
2013-09-04,-0.010743709353284059
2013-09-05,0.0
2013-09-06,-0.004922121748692221
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,-0.008067386747369398
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,-0.003293357742365721
2013-09-23,0.0
2013-09-24,-0.002511132334397148
2013-09-25,-0.003723110624695658
2013-09-26,-0.012745736816047293
2013-09-27,-0.004865742514881366
2013-09-30,-0.014746905197527194
2013-10-01,-0.01644987296231193
2013-10-02,-0.014241935238952341
2013-10-03,0.0
2013-10-04,-0.0016388417940115252
2013-10-07,-0.004639630833907615
2013-10-08,0.0
2013-10-09,-0.0031282405802259827
2013-10-11,-0.006900123404759317
2013-10-14,-0.011946936750829362
2013-10-15,-0.001741984618735648
2013-10-16,-0.006685717156986293
2013-10-17,-0.0024767803592221638
2013-10-18,-0.0040420681308888096
2013-10-21,-0.007181857787990409
2013-10-22,-0.006704743126324075
2013-10-23,-0.011442463013750959
2013-10-24,-0.009803831041553246
2013-10-25,-0.01734934487067219
2013-10-28,-0.008738489772232683
2013-10-29,-0.008182459117520469
2013-10-30,-0.005476540718507228
2013-10-31,-0.007697158257264358
2013-11-01,-0.014304566703834953
2013-11-04,-0.019531311869704582
2013-11-05,-0.03279467261512081
2013-11-06,-0.03035871376453525
2013-11-07,-0.02948766627125865
2013-11-08,-0.030459543877777162
2013-11-11,-0.03726551753310148
2013-11-12,-0.031159773790900847
2013-11-13,-0.04118388905635162
2013-11-14,-0.04226820317767033
2013-11-15,-0.03198304154003695
2013-11-18,-0.02555518004624535
2013-11-19,-0.019449992974815422
2013-11-20,-0.0313820861283437
2013-11-21,-0.04600264443132707
2013-11-22,-0.03734119841981409
2013-11-25,-0.028456193984467637
2013-11-26,-0.027156233322267687
2013-11-27,-0.01546768996715897
2013-11-28,-0.006029461683813575
2013-11-29,-0.0024375268517619064
2013-12-02,-0.00251020094038501
2013-12-03,-0.004706097521874453
2013-12-04,-0.0018659629806462297
2013-12-05,-0.00555376696523513
2013-12-06,-0.012449274946614075
2013-12-09,0.0
2013-12-10,-0.0019132546220101965
2013-12-11,-0.0015715055674395684
2013-12-12,-0.015813904924887434
2013-12-13,-0.010429158341108136
2013-12-16,-0.020646150813668496
2013-12-17,-0.014531442641997794
2013-12-18,-0.015520400079454544
2013-12-19,-0.005401436579334895
2013-12-20,-0.0052140278214295455
2013-12-23,0.0
2013-12-24,-0.005720155519986836
2013-12-25,-0.0027263218788597943
2013-12-26,0.0
2013-12-27,0.0
